OBSID,Objname,RAdeg,DEdeg
695314144,J042942.47+263249.1,67.4269734,26.5469777
695314234,J042704.69+260616.0,66.7695474,26.104456
695316189,J043114.43+271017.9,67.8101626,27.1716447
695703051,J041309.33+500811.0,63.2889074,50.1364115
695705161,J042018.50+491623.7,65.0771154,49.2732501
696204162,J060834.51+133419.3,92.14382,13.572037
701204139,J054243.17-092109.4,85.67989,-9.352629
701204164,J054224.77-085246.1,85.60323,-8.879473
701205060,J054111.08-093352.9,85.29617,-9.564708
701205063,J054103.24-093651.7,85.26352,-9.614385
701205073,J054113.91-094118.1,85.30799,-9.688373
701205166,J054248.91-095012.2,85.7038,-9.836746
701208095,J054836.18-090233.9,87.15077,-9.042761
701209067,J054704.86-074655.8,86.77026,-7.782176
701209170,J054616.95-081737.2,86.57065,-8.293672
701214099,J053748.95-075719.7,84.45399,-7.955493
701216036,J053912.86-064921.6,84.80361,-6.82267
701216039,J053827.67-065453.5,84.6153,-6.914878
701216044,J053754.51-065645.4,84.47713,-6.945971
701216053,J053918.62-070008.5,84.82761,-7.002385
701216152,J054027.32-072544.4,85.11387,-7.429027
701216169,J053922.34-072644.4,84.84309,-7.44569
701216178,J053852.37-072109.2,84.71824,-7.352582
701216181,J053828.50-071000.0,84.61877,-7.166691
701216199,J053833.84-071702.9,84.641,-7.284145
701216226,J053919.06-065516.4,84.82944,-6.921223
701414045,J001043.25+584632.6,2.6802204,58.775723
701414184,J001325.29+584756.0,3.35541,58.798912
701414231,J001004.29+590310.8,2.5178955,59.053017
701801007,J043901.63+233602.9,69.75681,23.60082
701801064,J043556.94+235147.3,68.98727,23.86315
701801071,J043540.94+241108.8,68.92062,24.1858
701802029,J043150.57+242417.7,67.96072,24.40494
701802180,J043029.59+242644.9,67.62332,24.44581
701802232,J043334.56+242105.8,68.39401,24.35163
701802242,J043306.63+240955.0,68.27763,24.16529
701803151,J043243.07+255231.0,68.17947,25.87528
701803213,J043336.79+260949.0,68.40331,26.16363
701804240,J043920.91+254501.8,69.83714,25.75051
701806155,J044642.61+245903.3,71.67758,24.98425
701810168,J043051.38+244222.3,67.71411,24.7062
701814058,J042951.55+260644.8,67.46482,26.11246
701814064,J043044.23+260124.7,67.68433,26.02354
701814208,J042929.70+261652.7,67.37379,26.28133
701814234,J042704.69+260616.0,66.76955,26.10446
701816189,J043114.44+271017.9,67.81017,27.17164
702114184,J001325.29+584756.0,3.35541,58.798912
702114231,J001004.29+590310.8,2.5178955,59.053017
702610005,J001236.87+583108.4,3.1536567,58.519016
702614233,J000853.53+585046.4,2.2230787,58.84623
703909166,J050425.45+450139.6,76.106067,45.027681
704002134,J060603.29+115911.6,91.513725,11.986562
716001023,J041447.30+264626.4,63.69709,26.774
716001194,J041447.86+264811.0,63.69942,26.80306
716004045,J041301.55+293445.8,63.25648,29.57939
716004250,J041542.78+290959.8,63.92828,29.16662
716005105,J041327.22+281624.6,63.36343,28.27352
716005107,J041414.59+282758.0,63.56081,28.46613
716005123,J041449.27+281230.4,63.70533,28.20846
716005126,J041447.99+275234.2,63.69996,27.87617
716006020,J042026.06+280409.0,65.10861,28.06918
716006199,J042203.14+282539.1,65.51311,28.42753
716006221,J042155.63+275506.1,65.48181,27.91838
716006238,J041926.26+282614.2,64.85944,28.43729
716007087,J042039.18+271731.7,65.16329,27.29216
716007199,J041941.26+274948.1,64.92195,27.83004
716008004,J041617.26+281712.8,64.07193,28.28689
716008015,J041733.72+282046.8,64.39053,28.34634
716008131,J041912.84+282932.8,64.80353,28.49245
716008135,J041738.94+283300.5,64.41228,28.55016
716008138,J041831.12+281629.1,64.6297,28.27477
716008144,J041749.65+282936.3,64.45691,28.49342
716008148,J041847.02+282007.4,64.69595,28.33541
716008192,J041505.15+280846.0,63.77148,28.14613
716008194,J041628.10+280735.7,64.11711,28.12659
716009059,J041732.82+302530.7,64.38677,30.4252
716012162,J042049.81+300915.3,65.20757,30.15425
716716128,J045100.32+460501.3,72.7513449,46.0837131
717609111,J073331.91+531020.3,113.38296,53.17232
717704229,J032506.71+310652.8,51.27799,31.11467
717706041,J033118.30+304939.4,52.82629,30.82762
717706078,J033128.86+303053.1,52.87029,30.51477
717708018,J032741.48+302016.6,51.92284,30.33797
717708080,J032838.67+305657.9,52.16114,30.94942
717708086,J032852.18+304505.5,52.21743,30.75155
717709011,J032743.40+311720.3,51.93086,31.28898
717709138,J032934.29+311743.3,52.3929,31.29538
717709143,J032926.82+312647.4,52.36176,31.44651
717709145,J032918.72+312325.4,52.32803,31.39039
717709237,J033025.97+310217.7,52.60823,31.03826
717713028,J033449.88+311549.6,53.70784,31.26378
717713052,J033330.43+311050.6,53.37683,31.18074
718116183,J051722.71+341211.4,79.344625,34.203188
719811231?,J061039.11+355845.0,92.6629981,35.9791728
720105073,J041309.33+500811.0,63.2889074,50.1364115
720205073,J041309.33+500811.0,63.2889074,50.1364115
720808046,J025811.21+203004.0,44.546737,20.501123
720808160,J025637.57+200537.1,44.156551,20.093649
721002029,J043150.57+242417.7,67.9607179,24.4049376
721002180,J043029.59+242644.9,67.6233209,24.4458114
721002232,J043334.56+242105.8,68.3940112,24.3516263
721003047,J043339.07+252038.0,68.4128195,25.3439161
721003151,J043243.07+255231.0,68.1794767,25.875284
721003213,J043336.79+260949.0,68.4033099,26.163631
